<Type>,<Ticker>,<Name>,<Industry>,<Currency>,<Market price>,<Dividend>,<Risk weight>
Stock,AAPL US,Apple Inc.,Technology,USD,148.19,0.59,1
Stock,MSFT US,Microsoft Corporation,Technology,USD,304.36,0.74,0.88
Stock,AMZN US,Amazon.com Inc.,Consumer Discretionary,USD,3199.95,0,0.69
Stock,FB US,Facebook Inc. Class A,Communications,USD,359.37,0,0.99
Stock,GOOGL US,Alphabet Inc. Class A,Communications,USD,2748.59,0,0.91
Stock,GOOG US,Alphabet Inc. Class C,Communications,USD,2768.74,0,0.91
Stock,BRK/B US,Berkshire Hathaway Inc. Class B,Financials,USD,285.27,0,0.87
Stock,TSLA US,Tesla Inc,Consumer Discretionary,USD,680.26,0,1.63
Stock,NVDA US,NVIDIA Corporation,Technology,USD,208.16,0.08,1.12
Stock,JNJ US,Johnson & Johnson,Health Care,USD,179.44,2.36,0.71
Stock,JPM US,JPMorgan Chase & Co.,Financials,USD,154.72,2.33,1.15
Stock,UNH US,UnitedHealth Group Incorporated,Health Care,USD,429.71,1.35,1.18
Stock,V US,Visa Inc. Class A,Technology,USD,231.36,0.55,1.03
Stock,PG US,Procter & Gamble Company,Consumer Staples,USD,145.09,2.4,0.72
Stock,HD US,Home Depot Inc.,Consumer Discretionary,USD,329.24,2,1.2
Stock,PYPL US,PayPal Holdings Inc,Technology,USD,272.96,0,1.09
Stock,DIS US,Walt Disney Company,Communications,USD,175.12,0,1.06
Stock,MA US,Mastercard Incorporated Class A,Technology,USD,354.99,0.5,1.18
Stock,ADBE US,Adobe Inc.,Technology,USD,647.34,0,0.84
Stock,BAC US,Bank of America Corp,Financials,USD,40.37,2.08,1.23
Stock,PFE US,Pfizer Inc.,Health Care,USD,48.72,3.2,0.72
Stock,CMCSA US,Comcast Corporation Class A,Communications,USD,59.41,1.68,0.88
Stock,CRM US,salesforce.com inc.,Technology,USD,256.13,0,0.97
Stock,CSCO US,Cisco Systems Inc.,Technology,USD,58.22,2.54,0.82
Stock,NFLX US,Netflix Inc.,Communications,USD,546.88,0,0.69
Stock,VZ US,Verizon Communications Inc.,Communications,USD,55.52,4.52,0.6
Stock,ABT US,Abbott Laboratories,Health Care,USD,126.32,1.42,0.84
Stock,XOM US,Exxon Mobil Corporation,Energy,USD,52.74,6.6,1.1
Stock,KO US,Coca-Cola Company,Consumer Staples,USD,56.64,2.97,1
Stock,PEP US,PepsiCo Inc.,Consumer Staples,USD,158.35,2.72,0.88
Stock,TMO US,Thermo Fisher Scientific Inc.,Health Care,USD,555,0.19,0.79
Stock,LLY US,Eli Lilly and Company,Health Care,USD,270.91,1.26,0.74
Stock,INTC US,Intel Corporation,Technology,USD,52.01,2.67,0.95
Stock,NKE US,NIKE Inc. Class B,Consumer Discretionary,USD,167.79,0.66,1.1
Stock,ACN US,Accenture Plc Class A,Technology,USD,332.65,1.06,0.98
Stock,ABBV US,AbbVie Inc.,Health Care,USD,118.82,4.38,0.86
Stock,WMT US,Walmart Inc.,Consumer Staples,USD,151.45,1.45,0.55
Stock,DHR US,Danaher Corporation,Health Care,USD,321.54,0.26,0.83
Stock,COST US,Costco Wholesale Corporation,Consumer Staples,USD,458.99,0.69,0.69
Stock,MRK US,Merck & Co. Inc.,Health Care,USD,78.68,3.3,0.66
Stock,T US,AT&T Inc.,Communications,USD,27.57,7.54,0.88
Stock,WFC US,Wells Fargo & Company,Financials,USD,47.42,1.69,1.26
Stock,AVGO US,Broadcom Inc.,Technology,USD,475.17,3.03,1.08
Stock,CVX US,Chevron Corporation,Energy,USD,94.3,5.68,1.2
Stock,MCD US,McDonald's Corporation,Consumer Discretionary,USD,238.49,2.16,0.93
Stock,MDT US,Medtronic Plc,Health Care,USD,129.9,1.94,1.08
Stock,TXN US,Texas Instruments Incorporated,Technology,USD,184.97,2.21,0.89
Stock,NEE US,NextEra Energy Inc.,Utilities,USD,86.28,1.78,0.99
Stock,LIN US,Linde plc,Materials,USD,313.85,1.35,1.1
Stock,ORCL US,Oracle Corporation,Technology,USD,88.94,1.44,0.71
Stock,QCOM US,Qualcomm Inc,Technology,USD,142.09,1.91,1.06
Stock,HON US,Honeywell International Inc.,Industrials,USD,227.7,1.63,1.2
Stock,PM US,Philip Morris International Inc.,Consumer Staples,USD,101.42,4.73,0.92
Stock,BMY US,Bristol-Myers Squibb Company,Health Care,USD,69.2,2.83,0.8
Stock,UNP US,Union Pacific Corporation,Industrials,USD,223.71,1.91,1.07
Stock,INTU US,Intuit Inc.,Technology,USD,545.3,0.43,1.12
Stock,MS US,Morgan Stanley,Financials,USD,100.66,2.78,1.29
Stock,C US,Citigroup Inc.,Financials,USD,70.25,2.9,1.46
Stock,LOW US,Lowe's Companies Inc.,Consumer Discretionary,USD,208.21,1.54,1.35
Stock,UPS US,United Parcel Service Inc. Class B,Industrials,USD,193.24,2.11,0.84
Stock,SBUX US,Starbucks Corporation,Consumer Discretionary,USD,114.63,1.57,1.09
Stock,GS US,Goldman Sachs Group Inc.,Financials,USD,395.87,2.02,1.29
Stock,AMT US,American Tower Corporation,Real Estate,USD,290.82,1.75,0.94
Stock,AMGN US,Amgen Inc.,Health Care,USD,223.53,3.15,0.74
Stock,BLK US,BlackRock Inc.,Financials,USD,917.17,1.8,1.14
Stock,RTX US,Raytheon Technologies Corporation,Industrials,USD,84.05,2.43,1.4
Stock,AMD US,Advanced Micro Devices Inc.,Technology,USD,104.65,0,1.14
Stock,ISRG US,Intuitive Surgical Inc.,Health Care,USD,1043.82,0,1.18
Stock,IBM US,International Business Machines Corporation,Technology,USD,139.11,4.72,0.99
Stock,TGT US,Target Corporation,Consumer Staples,USD,253.4,1.42,0.74
Stock,AMAT US,Applied Materials Inc.,Technology,USD,127.2,0.75,1.38
Stock,BA US,Boeing Company,Industrials,USD,212.67,0,2.18
Stock,NOW US,ServiceNow Inc.,Technology,USD,600.52,0,0.86
Stock,MRNA US,Moderna Inc.,Health Care,USD,382.98,0,0.11
Stock,MMM US,3M Company,Industrials,USD,194.16,3.05,0.85
Stock,DE US,Deere & Company,Industrials,USD,351.43,1.02,1.16
Stock,CAT US,Caterpillar Inc.,Industrials,USD,204.94,2.17,0.92
Stock,CVS US,CVS Health Corporation,Health Care,USD,84.85,2.36,0.98
Stock,GE US,General Electric Company,Industrials,USD,100.05,0.32,1.15
Stock,CHTR US,Charter Communications Inc. Class A,Communications,USD,794.09,0,0.92
Stock,SCHW US,Charles Schwab Corporation,Financials,USD,71.97,1,0.96
Stock,SPGI US,S&P Global Inc.,Technology,USD,437.52,0.7,1.01
Stock,AXP US,American Express Company,Financials,USD,159.75,1.08,1.44
Stock,PLD US,Prologis Inc.,Real Estate,USD,134.25,1.88,1.19
Stock,ZTS US,Zoetis Inc. Class A,Health Care,USD,207.05,0.48,0.93
Stock,ANTM US,Anthem Inc.,Health Care,USD,377.99,1.2,1.26
Stock,ADP US,Automatic Data Processing Inc.,Technology,USD,211.58,1.76,1.06
Stock,GILD US,Gilead Sciences Inc.,Health Care,USD,72.44,3.92,0.46
Stock,MDLZ US,Mondelez International Inc. Class A,Consumer Staples,USD,63.49,2.21,0.82
Stock,MO US,Altria Group Inc,Consumer Staples,USD,48.47,7.1,0.89
Stock,TJX US,TJX Companies Inc,Consumer Discretionary,USD,74.04,1.4,1.33
Stock,LMT US,Lockheed Martin Corporation,Industrials,USD,357.17,2.91,0.96
Stock,SYK US,Stryker Corporation,Health Care,USD,265.28,0.95,1.2
Stock,CCI US,Crown Castle International Corp,Real Estate,USD,198.05,2.69,0.88
Stock,BKNG US,Booking Holdings Inc.,Communications,USD,2074.74,0,1.21
Stock,CB US,Chubb Limited,Financials,USD,186.21,1.72,1.13
Stock,TMUS US,T-Mobile US Inc.,Communications,USD,141.81,0,0.83
Stock,LRCX US,Lam Research Corporation,Technology,USD,565.97,0.92,1.5
Stock,DUK US,Duke Energy Corporation,Utilities,USD,107.21,3.68,0.98
Stock,FIS US,Fidelity National Information Services Inc.,Technology,USD,129.98,1.2,1.05
Stock,MU US,Micron Technology Inc.,Technology,USD,70.23,0.57,1.18
